Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Glaxosmithkline Pharmaceuticals Ltd.,Mar-16,19,Mar-19,31198.4,23674.3,4.45,17.01,16.83,1.3,1.09,0.02,1299.85,220202.43,0.33,23.79,12.302302539
Glenmark Pharmaceuticals Ltd.,Mar-10,569.2,Mar-13,17118.5,11396.4,10.18,15.99,13.64,1.26,1.02,0.12,462.55,125283.36,-1.93,16.48,11.738333331
Glenmark Pharmaceuticals Ltd.,Mar-11,759.6,Mar-14,38657.7,22931,17.81,30,27.34,1.41,1.04,0.08,565.9,153485.47,3.04,16,11.941361184
Glenmark Pharmaceuticals Ltd.,Mar-12,929.4,Mar-15,52883,34027.2,14.66,24.11,21.98,1.53,1.17,0.11,786,213237.52,0.23,43.45,12.270161941
Glenmark Pharmaceuticals Ltd.,Mar-13,1213.6,Mar-16,70969.6,31183,16.99,28.31,23.35,2.31,1.84,0.29,794.3,224118.22,2.29,52.63,12.319928959
Glenmark Pharmaceuticals Ltd.,Mar-14,2773.1,Mar-17,60990.6,24085.9,5.38,8.76,6.79,2.58,1.95,0.29,857.75,242029.74,-0.72,84.28,12.396815890
Glenmark Pharmaceuticals Ltd.,Mar-15,4349.7,Mar-18,53944.6,25339.4,6.8,10.24,8.04,2.17,1.66,0.26,527.15,148744.94,-1.97,49.09,11.909988306
Glenmark Pharmaceuticals Ltd.,Mar-16,4623.4,Mar-19,53944.6,25339.4,6.8,10.24,8.04,2.17,1.66,0.26,645.55,182153.65,-0.69,37.96,12.112605841
Granules India Ltd.,Mar-10,13.8,Mar-13,3298.4,2401.6,10.88,26.3,13.79,1.15,0.67,0.95,94.75,1906.95,3.05,16.82,7.553260386
Granules India Ltd.,Mar-11,40.5,Mar-14,4730.6,3679.5,9.77,25.08,12.78,1.2,0.73,0.97,255.7,5185.89,1.97,39.35,8.553696755
Granules India Ltd.,Mar-12,65.7,Mar-15,8200.9,6504.7,9.03,22.25,11.3,1.18,0.85,0.97,84.95,17351.17,0.65,4.69,9.761415218
Granules India Ltd.,Mar-13,82.6,Mar-16,8357.1,7773,8.28,18.35,9.98,0.96,0.65,0.74,119.95,25994.58,0.21,5.58,10.165643334
Granules India Ltd.,Mar-14,84,Mar-17,11816.2,8600.7,6.16,12.88,7.33,1.21,0.92,0.77,138.55,31686.77,-0.47,6.21,10.363654523
Granules India Ltd.,Mar-15,153.1,Mar-18,12246.7,8585.9,5.89,12,6.94,1.33,0.93,0.7,103.5,26272.19,-2.04,5.62,10.176266244
Granules India Ltd.,Mar-16,249.8,Mar-19,13874.9,8699.1,9.37,17.51,11.07,1.52,1.09,0.49,114.3,29060.5,-1.89,6.09,10.277135143
Gufic Biosciences Ltd.,Mar-10,,Mar-13,693,578.3,4.1,17.03,7.06,0.99,0.54,1.28,6.37,492.72,0.63,0.38,6.199941061
Gufic Biosciences Ltd.,Mar-11,,Mar-14,914.9,804.4,3.46,15.56,6.93,0.94,0.49,1.21,5.14,397.58,0.59,0.54,5.985396172
Gufic Biosciences Ltd.,Mar-12,,Mar-15,917.48,836,5.06,23.32,10.41,1.1,0.59,1.26,12.92,999.36,10.71,0.54,6.907115074
Gufic Biosciences Ltd.,Mar-13,,Mar-16,1464.1,1313,5.75,27.18,11.35,1.12,0.48,1.52,41.9,3240.96,-0.48,0.92,8.083624861
